Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8
Heart attack,crushing_chest_pain,breathlessness,sweating,palpitations,left_arm_pain,nausea,dizziness,jaw_pain
Heart attack,crushing_chest_pain,chest_pain,sweating,breathlessness,cold_sweat,,,
Heart attack,chest_pain,palpitations,sweating,breathlessness,nausea,,,
Heart attack,crushing_chest_pain,left_arm_pain,breathlessness,cold_sweat,jaw_pain,,,
Heart attack,chest_tightness,breathlessness,cold_sweat,palpitations,nausea,,,
Heart attack,crushing_chest_pain,vomiting,breathlessness,sweating,,,, 
Heart attack,heavy_chest_pain,palpitations,sweating,breathlessness,left_arm_pain,,,
Heart attack,chest_pain,breathlessness,palpitations,cold_sweat,,,, 
Heart attack,crushing_chest_pain,dizziness,sweating,breathlessness,nausea,,,
Heart attack,sudden_chest_pain,palpitations,breathlessness,cold_sweat,,,, 
Common Cold,runny_nose,continuous_sneezing,sore_throat,mild_fever,headache,congestion,,
Common Cold,runny_nose,sneezing,sore_throat,mild_fever,,,, 
Common Cold,continuous_sneezing,runny_nose,watery_eyes,congestion,headache,,,
Common Cold,sore_throat,runny_nose,mild_fever,congestion,,,, 
Common Cold,runny_nose,continuous_sneezing,sore_throat,headache,mild_fever,,,
Common Flu,high_fever,body_ache,fatigue,chills,headache,muscle_pain,,
Common Flu,high_fever,chills,fatigue,muscle_pain,headache,sweating,,
Common Flu,body_ache,high_fever,fatigue,chills,runny_nose,,,
Common Flu,high_fever,sweating,body_ache,muscle_pain,fatigue,,,
Common Flu,chills,high_fever,headache,fatigue,muscle_pain,body_ache,,
Migraine,severe_headache,throbbing_pain,nausea,photophobia,visual_aura,,,
Migraine,severe_headache,vomiting,photophobia,phonophobia,throbbing_pain,,,
Migraine,throbbing_headache,nausea,visual_disturbances,sensitivity_to_light,,,, 
Migraine,severe_headache,visual_aura,nausea,photophobia,,,, 
Migraine,pulsating_headache,throbbing_pain,nausea,vomiting,photophobia,,,
Gastroenteritis,vomiting,diarrhoea,stomach_cramps,nausea,dehydration,,,
